Company,Score,Decision,Loan Amount (Cr),Interest Rate (%),Explanation
Company_1,55.04,High Risk,1.1275,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (586), high leverage (debt-to-equity above ideal range), declining market demand in the industry."
Company_2,65.73,Approve with Conditions,2.365,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_3,68.91,Approve with Conditions,3.66,11.5,"Approved with conditions due to litigation risk identified during secondary research, strong GST turnover supporting repayment capacity."
Company_4,66.1,Approve with Conditions,1.625,11.5,"Approved with conditions due to litigation risk identified during secondary research, declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_5,72.51,Approve with Conditions,1.4080000000000001,11.5,"Approved with conditions due to declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_6,69.26,Approve with Conditions,3.405,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_7,62.52,High Risk,2.67,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_8,71.06,Approve with Conditions,0.89,11.5,Approved with conditions due to litigation risk identified during secondary research.
Company_9,67.43,Approve with Conditions,0.8075,11.5,Approved with conditions due to litigation risk identified during secondary research.
Company_10,53.79,High Risk,0.59,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (610)."
Company_11,55.56,High Risk,1.0175,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (642)."
Company_12,62.81,High Risk,1.2640000000000002,14.0,"High risk lending due to litigation risk identified during secondary research, strong GST turnover supporting repayment capacity."
Company_13,58.73,High Risk,1.8025,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (647), high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_14,62.27,High Risk,0.5675,14.0,"High risk lending due to litigation risk identified during secondary research, declining market demand in the industry."
Company_15,60.36,High Risk,2.004,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_16,57.5,High Risk,3.3425,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (613), high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_17,59.76,High Risk,2.4175,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (619), strong GST turnover supporting repayment capacity."
Company_18,66.14,Approve with Conditions,2.2675,11.5,"Approved with conditions due to litigation risk identified during secondary research, strong GST turnover supporting repayment capacity."
Company_19,69.32,Approve with Conditions,3.0075,11.5,"Approved with conditions due to high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_20,58.43,High Risk,1.665,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (648), strong GST turnover supporting repayment capacity."
Company_21,59.98,High Risk,2.4440000000000004,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_22,55.94,High Risk,2.13,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (591), strong GST turnover supporting repayment capacity."
Company_23,58.59,High Risk,2.245,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_24,65.3,Approve with Conditions,3.055,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_25,62.0,High Risk,2.156,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_26,68.16,Approve with Conditions,3.5825,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_27,59.36,High Risk,2.7825,14.0,"High risk lending due to litigation risk identified during secondary research, declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_28,58.13,High Risk,3.43,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (632), high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_29,62.02,High Risk,1.845,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_30,55.7,High Risk,1.655,14.0,"High risk lending due to low CIBIL score (626), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_31,65.83,Approve with Conditions,1.0475,11.5,Approved with conditions due to high leverage (debt-to-equity above ideal range).
Company_32,67.94,Approve with Conditions,2.3175,11.5,Approved with conditions due to strong GST turnover supporting repayment capacity.
Company_33,54.02,High Risk,0.4175,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (597), high leverage (debt-to-equity above ideal range), declining market demand in the industry."
Company_34,68.27,Approve with Conditions,1.4625,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_35,60.5,High Risk,2.25,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_36,60.11,High Risk,1.9725,14.0,"High risk lending due to litigation risk identified during secondary research, declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_37,59.08,High Risk,2.82,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (635), high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_38,66.67,Approve with Conditions,3.32,11.5,"Approved with conditions due to litigation risk identified during secondary research, strong GST turnover supporting repayment capacity."
Company_39,54.66,High Risk,2.2575,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (601), high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_40,65.37,Approve with Conditions,1.492,11.5,"Approved with conditions due to litigation risk identified during secondary research, strong GST turnover supporting repayment capacity."
Company_41,72.52,Approve with Conditions,1.81,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_42,67.2,Approve with Conditions,1.168,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_43,62.69,High Risk,3.4675,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_44,69.69,Approve with Conditions,1.91,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_45,57.66,High Risk,1.9160000000000001,14.0,"High risk lending due to litigation risk identified during secondary research, low CIBIL score (632), high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_46,63.84,High Risk,1.7775,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), declining market demand in the industry, strong GST turnover supporting repayment capacity."
Company_47,66.63,Approve with Conditions,3.295,11.5,"Approved with conditions due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_48,60.31,High Risk,3.6325,14.0,"High risk lending due to litigation risk identified during secondary research, high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_49,68.65,Approve with Conditions,3.2525,11.5,"Approved with conditions due to high leverage (debt-to-equity above ideal range), strong GST turnover supporting repayment capacity."
Company_50,59.56,High Risk,3.425,14.0,"High risk lending due to litigation risk identified during secondary research, declining market demand in the industry, strong GST turnover supporting repayment capacity."
